Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2015,2015,1,1,†,-4.5,,-12.5,,-8.5,,26.5,,0,,,M,,M,0.4,,4,,,,<31,
1/2/2015,2015,1,2,†,-12.5,,-20.7,,-16.6,,34.6,,0,,,M,,M,1.2,,5,,4,,44,
1/3/2015,2015,1,3,†,-20.6,,-35.4,,-28,,46,,0,,,M,,M,0.2,,8,,35,,33,
1/4/2015,2015,1,4,†,-26.6,,-37.6,,-32.1,,50.1,,0,,,M,,M,0,,8,,25,,35,
1/5/2015,2015,1,5,†,-18.8,,-32.1,,-25.5,,43.5,,0,,,M,,M,0,,7,,31,,35,
1/6/2015,2015,1,6,†,-19.6,,-29.8,,-24.7,,42.7,,0,,,M,,M,0,,7,,31,,32,
1/7/2015,2015,1,7,†,-13.1,,-33,,-23.1,,41.1,,0,,,M,,M,0.4,,7,,32,,35,
1/8/2015,2015,1,8,†,-13.8,,-21.5,,-17.7,,35.7,,0,,,M,,M,0,,5,,31,,56,
1/9/2015,2015,1,9,†,-20.5,,-28.3,,-24.4,,42.4,,0,,,M,,M,0,,4,,31,,33,
1/10/2015,2015,1,10,†,-21.8,,-29.9,,-25.9,,43.9,,0,,,M,,M,0,,4,,,,<31,
1/11/2015,2015,1,11,†,-19.1,,-31.1,,-25.1,,43.1,,0,,,M,,M,0,,4,,,,<31,
1/12/2015,2015,1,12,†,-12.3,,-25.8,,-19.1,,37.1,,0,,,M,,M,0,,3,,,,<31,
