DAUID,CSDUID,CCSUID,CDUID,ERUID,CTUID,CMAUID,adpop2006,Shape_Leng,Shape_Area,TOTALDEPNT,QUINTMATNT,QUINTSOCNT,QUINTMATLO,QUINTSOCLO,TOTALDEPLO,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID,NGHD_ID,Nghd_Name,FINAL_Shap,NALP,IMI,Shape_Le_1,Shape_Le_2,FINAL_Sha1,OID_,NGHD_NAM_1,NALP_AF,NALP_DD,NALP_SAFE,NALP_UA,IMI_ATTR,IMI_DD,IMI_PA,IMI_S_CR,IMI_S_TR,ERA,JOIN_FID,TARGET_FID,Join_Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110021,4711066,4711066,4711,4730,7250021.05,725,854,10526.82421,2965861.228,1,2,1,3,1,1,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110022,4711066,4711066,4711,4730,7250021.05,725,394,1379.704225,99629.57288,1,1,1,2,1,1,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110027,4711066,4711066,4711,4730,7250021.05,725,600,2176.914472,150933.6612,1,1,1,2,1,1,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110028,4711066,4711066,4711,4730,7250021.05,725,345,966.7027771,53348.91163,4,4,3,5,2,4,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110029,4711066,4711066,4711,4730,7250021.05,725,422,2296.53654,148969.0849,1,1,1,2,1,1,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110030,4711066,4711066,4711,4730,7250021.04,725,704,3233.676594,164518.0501,1,1,2,1,2,1,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110031,4711066,4711066,4711,4730,7250021.04,725,429,1004.511181,61416.07762,3,1,5,2,5,4,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110032,4711066,4711066,4711,4730,7250021.04,725,280,1049.095936,71962.83658,1,2,1,2,1,1,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110033,4711066,4711066,4711,4730,7250021.04,725,444,1422.648797,103940.9042,3,2,4,3,4,4,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,9,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110035,4711066,4711066,4711,4730,7250021.03,725,444,1619.135827,134311.6993,1,1,3,2,3,2,51,68,11,102,56,Silverwood Heights,8310.566383,1,0,8310.566383,8310.566383,3713993.494,50,Silverwood Heights,3.41667,3.125,3.75,2,4.62758,3,4.83758,9.69818,6.5703,3,51,10,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110038,4711066,4711066,4711,4730,7250021.02,725,762,1701.13397,137314.8621,3,2,4,2,3,2,33,45,61,166,54,Lawson Heights Suburban Centre,5170.682598,1,1,5170.682598,5170.682598,854335.9725,32,Lawson Heights Suburban Centre,3,4.25,3.5,3.5,5.326,10,6.29,7.948,6.629,3,33,11,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110039,4711066,4711066,4711,4730,7250021.02,725,793,2882.636846,253724.1131,1,2,1,2,1,1,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,12,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110040,4711066,4711066,4711,4730,7250021.02,725,270,1576.663414,91348.59667,1,2,1,3,1,1,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,13,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110041,4711066,4711066,4711,4730,7250021.02,725,615,3394.391825,367697.7204,3,2,4,3,3,3,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,14,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110042,4711066,4711066,4711,4730,7250021.02,725,689,3480.998153,289522.8238,2,2,2,3,2,2,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,15,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110043,4711066,4711066,4711,4730,7250021.02,725,308,1404.908032,104762.3031,3,2,4,3,3,3,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,16,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110044,4711066,4711066,4711,4730,7250021.02,725,373,1826.572028,125014.862,1,3,1,4,1,2,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,17,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110045,4711066,4711066,4711,4730,7250021.02,725,607,3788.37236,233127.2846,3,1,5,1,5,3,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,18,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110046,4711066,4711066,4711,4730,7250021.02,725,352,3436.269291,316224.7433,2,2,2,3,2,2,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,19,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110047,4711066,4711066,4711,4730,7250021.01,725,555,3223.641607,266092.1876,3,3,3,4,3,4,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,20,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110048,4711066,4711066,4711,4730,7250021.01,725,491,2245.409554,170618.648,4,4,3,5,2,4,47,61,57,162,52,Richmond Heights,3066.496557,1,0,3066.496557,3066.496557,473584.7823,46,Richmond Heights,4.25,3.6875,4.25,2,5.468,5,5.326,9.419,6.745,2,47,21,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110049,4711066,4711066,4711,4730,7250021.01,725,489,8843.506155,2549010.417,3,1,5,2,4,3,48,62,58,163,53,River Heights,7253.035196,1,1,7253.035196,7253.035196,1948457.383,47,River Heights,3.66667,3.625,3.75,1.5,5.23292,1,4.89583,8.83667,5.42625,2,48,22,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110050,4711066,4711066,4711,4730,7250021.01,725,452,1907.676822,161731.1468,3,3,3,4,3,4,39,53,56,161,51,North Park,4441.23129,1,1,4441.23129,4441.23129,834347.202,38,North Park,4.5,3.9375,4.125,2,4.78944,7,4.47389,7.89222,5.66333,2,39,23,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110051,4711066,4711066,4711,4730,7250021.01,725,537,3452.755019,484748.7844,3,2,4,2,4,3,47,61,57,162,52,Richmond Heights,3066.496557,1,0,3066.496557,3066.496557,473584.7823,46,Richmond Heights,4.25,3.6875,4.25,2,5.468,5,5.326,9.419,6.745,2,47,24,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110052,4711066,4711066,4711,4730,7250015,725,469,2119.92274,210358.2409,3,1,5,1,5,3,39,53,56,161,51,North Park,4441.23129,1,1,4441.23129,4441.23129,834347.202,38,North Park,4.5,3.9375,4.125,2,4.78944,7,4.47389,7.89222,5.66333,2,39,25,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110053,4711066,4711066,4711,4730,7250021.01,725,521,1684.922858,176388.753,5,3,5,4,4,4,39,53,56,161,51,North Park,4441.23129,1,1,4441.23129,4441.23129,834347.202,38,North Park,4.5,3.9375,4.125,2,4.78944,7,4.47389,7.89222,5.66333,2,39,26,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110054,4711066,4711066,4711,4730,7250015,725,423,5219.819501,1040454.482,5,3,5,4,5,5,39,53,56,161,51,North Park,4441.23129,1,1,4441.23129,4441.23129,834347.202,38,North Park,4.5,3.9375,4.125,2,4.78944,7,4.47389,7.89222,5.66333,2,39,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110055,4711066,4711066,4711,4730,7250015,725,483,1734.620138,108066.3066,3,1,5,1,5,3,9,16,44,149,50,City Park,4828.186944,1,1,4828.186944,4828.186944,1390226.796,8,City Park,3.41667,5.1875,3.625,1.83333,4.78154,10,5.02615,6.87308,6.52923,1,9,28,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110056,4711066,4711066,4711,4730,7250015,725,472,1557.646438,109119.2882,4,2,5,3,5,5,9,16,44,149,50,City Park,4828.186944,1,1,4828.186944,4828.186944,1390226.796,8,City Park,3.41667,5.1875,3.625,1.83333,4.78154,10,5.02615,6.87308,6.52923,1,9,29,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
